"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MELK",7.8381482482792,2.19519331354452,0.29522384343643,7.435691128441,1.04022641673534e-13,1.00874731365298e-11
"CST1",13.1466514534491,4.85469520081694,0.652981461393436,7.43466007512253,1.04837203433664e-13,1.01135139687413e-11
"MRVI1",13.7257151928465,-1.56236440748121,0.210436512804552,-7.42439791773346,1.13294081696966e-13,1.08385979470982e-11
"EGFLAM",7.12412799373371,-2.01102258859794,0.270876540287806,-7.42412977683938,1.13523809617593e-13,1.08385979470982e-11
"MCM3",26.722316029938,1.61816965608614,0.218040062976501,7.42143271285212,1.15860111353708e-13,1.10049281153507e-11
"TMBIM4",320.829254076459,-1.43132182730062,0.193820266710344,-7.3847892771692,1.5269502619988e-13,1.44296799758887e-11
"HSPB7",13.1870499438902,-2.85124680487994,0.386679772078361,-7.37366423269261,1.66000965186883e-13,1.56074613055404e-11
"GPC3",5.60307890003802,-1.9666827979314,0.266925782862756,-7.36790120773984,1.73335156159794e-13,1.62147159716753e-11
"DDX11",38.3833875024833,1.52343332312102,0.207006799462359,7.35933953414913,1.84822380768906e-13,1.72024127467421e-11
"TBC1D8B",476.709743585739,-2.9443908491981,0.400558188303272,-7.35071940900839,1.97142880103853e-13,1.82574021264178e-11
"SEMA6D",6.28580185508037,-2.35808526755385,0.320829075813003,-7.3499736941806,1.98245866886874e-13,1.82682086889487e-11
"SLC52A2",34.777965976768,1.69147225144057,0.230316521170747,7.34412035594522,2.07116689525182e-13,1.89911649672546e-11
"RFX2",29.6772860066667,-1.67570838171271,0.228238722631766,-7.34191097106802,2.10565450918341e-13,1.92122821768942e-11
"ZBTB16",41.2893252421211,-2.22991190733563,0.304132035784868,-7.33205202004105,2.26655077628648e-13,2.05789477835187e-11
"MFAP4",81.8698392412007,-2.4648820285371,0.336572164025152,-7.32348747757079,2.4160814986367e-13,2.18295909842678e-11
"ATP1A2",4.37259333040804,-2.53601277396858,0.347068006708301,-7.30696210814965,2.73249571117768e-13,2.4568585224482e-11
"SPP2",122.225450590873,-3.46796543875012,0.475330454063686,-7.29590416330756,2.96660021252926e-13,2.654462277124e-11
"GPD1",21.8986992069231,-2.96174582774769,0.406054017087766,-7.29397002149971,3.00952429889515e-13,2.67992351269884e-11
"GPR133",11.1146907086358,-1.47552438639845,0.202326926395314,-7.29277319972486,3.0363900630589e-13,2.69090989224771e-11
"C21orf58",13.0431915885009,1.54085559394006,0.211343839800677,7.29075233701288,3.08228919036134e-13,2.7185790658987e-11
"ACACB",54.7850531221297,-1.27963899383189,0.175832862232008,-7.27758723590265,3.39843246523725e-13,2.98321166450826e-11
"SCARA5",7.67754281791294,-2.38169027790597,0.327476313140279,-7.27286274560487,3.51947881159116e-13,3.07489559190054e-11
"HIST1H2AL",29.1350581786283,2.50948189312215,0.345081206169479,7.27214883991588,3.53813431686931e-13,3.07668186934523e-11
"THSD4",16.9014485858524,-2.20058284757804,0.302851583037559,-7.2662088324139,3.69716878977095e-13,3.19995141701578e-11
"ZNF747",141.779866364974,-1.3767148026523,0.189585119544247,-7.2617239473322,3.82187582341326e-13,3.29250158145397e-11
"H2AFZ",38.5964474375513,1.45376523427228,0.200262260746477,7.25930701497816,3.89078463306905e-13,3.320972948097e-11
"TMEM182",539.741320160036,-2.82785431552622,0.389535481741249,-7.25955515755722,3.88365404750145e-13,3.320972948097e-11
