"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C12orf49",14.5332021410063,1.33965025329766,0.187039489927565,7.16239257183854,7.92809934012737e-13,6.94881157656516e-11
"MEIS2",17.3556388515789,-1.63544912115994,0.228830312629549,-7.14699509154432,8.86980481130377e-13,7.73786850571169e-11
"ABCA10",10.0462204019845,-2.18624967251325,0.307110745947038,-7.11876644293742,1.08897257671029e-12,9.41205047898355e-11
"HDGF",113.726984981713,1.29530896651725,0.18206014393543,7.1147310911533,1.12131243343585e-12,9.64690406443039e-11
"THSD4",18.2401757171917,-2.17751580497231,0.306693122119288,-7.09998251648227,1.2477267277042e-12,1.06852340731696e-10
"GFPT1",14.2748589728658,1.28676758027597,0.181304779325684,7.09726232844917,1.2725238063609e-12,1.08478296534026e-10
"KRBOX1",64.2361521396554,-1.78809815590767,0.252022830923664,-7.09498480496507,1.29365698504144e-12,1.09778555698812e-10
"NUP210",26.5902975437969,1.76010932377061,0.248192023032946,7.09172398960208,1.32451481682276e-12,1.11888538983095e-10
"STRA13",39.2241201942386,1.34448303989968,0.189621772643979,7.09034105711051,1.33781887088262e-12,1.12503335587872e-10
"KRT1",355.933146061927,-12.292817508437,1.73981373504307,-7.06559401206974,1.59930366443447e-12,1.3388968659788e-10
