"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045005","DNA-templated DNA replication maintenance of fidelity","9/724","59/18986",0.152542372881356,4.00023410431688,4.59558362025309,0.000369244582420108,0.00954732933587311,0.00813950683643878,"PARP1/DDX11/POLD1/TONSL/TIMELESS/RFWD3/PCNA/RAD51/BLM",9
"GO:0032479","regulation of type I interferon production","14/724","128/18986",0.109375,2.86822341160221,4.2226627180123,0.000380070465839967,0.00972380281288463,0.00828995802776704,"TRIM65/IRAK1/ISG15/OAS3/KPNA2/STAT1/OAS2/GAPDH/OAS1/IKBKE/IFIH1/NMB/SIGLEC1/TYROBP",14
"GO:0032606","type I interferon production","14/724","128/18986",0.109375,2.86822341160221,4.2226627180123,0.000380070465839967,0.00972380281288463,0.00828995802776704,"TRIM65/IRAK1/ISG15/OAS3/KPNA2/STAT1/OAS2/GAPDH/OAS1/IKBKE/IFIH1/NMB/SIGLEC1/TYROBP",14
"GO:0070664","negative regulation of leukocyte proliferation","12/724","99/18986",0.121212121212121,3.17863720073665,4.32734416145273,0.000382555590358692,0.00973613992007122,0.00830047593960965,"IL4I1/CDKN2A/LILRB4/FOXP3/SCRIB/LGALS9/GSTP1/VTCN1/SOX11/CTLA4/TYROBP/PLA2G2D",12
"GO:0043549","regulation of kinase activity","33/724","460/18986",0.0717391304347826,1.88126951717511,3.80975676472223,0.000404101756988651,0.0102309304204262,0.0087223060157035,"PLK1/TPX2/SLAMF8/PSRC1/TRAF2/PKMYT1/MAGED1/UCHL1/TRIB3/CDKN2A/CDKN3/MIF/LILRB4/JTB/CDC6/GPRC5A/EFNA1/NLRC5/TREM2/KIF14/MST1R/GSTP1/CDKN2B/CIB1/LMO4/AGT/TNF/CDC25A/EZH2/CCND1/CCNE2/LTF/BLM",33
"GO:0090224","regulation of spindle organization","8/724","48/18986",0.166666666666667,4.37062615101289,4.65548104920319,0.000420082904504162,0.0105258917463646,0.00897377316892504,"PLK1/TPX2/RCC1/PSRC1/TACC3/CHMP4C/SPAG5/MAPK15",8
"GO:1901976","regulation of cell cycle checkpoint","8/724","48/18986",0.166666666666667,4.37062615101289,4.65548104920319,0.000420082904504162,0.0105258917463646,0.00897377316892504,"CCNB1/AURKB/CDCA8/ZWINT/INCENP/RFWD3/RAD51/MAD2L1",8
"GO:0002449","lymphocyte mediated immunity","29/724","386/18986",0.0751295336787565,1.97017862765866,3.83432832707934,0.000424953061744494,0.0105933170930256,0.00903125616241875,"IL4I1/FCGR3A/PRDX1/TRAF2/TUBB/C1QB/RSAD2/LILRB4/TCIRG1/C1QC/FOXP3/IL21R/TFRC/LGALS9/FADD/TREM2/LAG3/IL2RB/C8G/CD2/C1QA/HLA-C/HLA-B/TNF/HPRT1/HLA-A/HCST/NKG7/ULBP2",29
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","7/724","37/18986",0.189189189189189,4.96125130655517,4.80220310480306,0.000431592395003909,0.0106833672583182,0.00910802778202423,"TAP1/IFI30/CALR/HLA-C/HLA-B/HLA-A/ULBP2",7
"GO:1902750","negative regulation of cell cycle G2/M phase transition","10/724","73/18986",0.136986301369863,3.59229546658594,4.41841122714507,0.000432960985371053,0.0106833672583182,0.00910802778202423,"AURKB/PLK1/DTL/PKMYT1/CHMP4C/TICRR/ATF5/CDC6/ORC1/BLM",10
"GO:0071706","tumor necrosis factor superfamily cytokine production","18/724","193/18986",0.0932642487046632,2.44573898605903,4.01948955716237,0.000439825629515825,0.0107307213515651,0.00914839917303388,"OAS3/FCGR3A/OAS2/MIF/HDAC2/OAS1/LILRB4/FOXP3/IFIH1/LGALS9/FADD/TREM2/CD2/GSTP1/CYBA/ORM2/TYROBP/LTF",18
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","18/724","193/18986",0.0932642487046632,2.44573898605903,4.01948955716237,0.000439825629515825,0.0107307213515651,0.00914839917303388,"OAS3/FCGR3A/OAS2/MIF/HDAC2/OAS1/LILRB4/FOXP3/IFIH1/LGALS9/FADD/TREM2/CD2/GSTP1/CYBA/ORM2/TYROBP/LTF",18
